time (s),altitude (km),velocity (km / s)
23730,38820.28587623609,1.551799415691668
23740,38817.011094569054,1.552203932745541
23750,38813.7221880407,1.5526101469596085
23760,38810.41915497722,1.5530180579762547
23770,38807.10199369729,1.5534276654372943
23780,38803.77070251215,1.5538389689839833
23790,38800.42527972554,1.55425196825703
23800,38797.06572363371,1.5546666628966062
23810,38793.69203252541,1.555083052542358
23820,38790.30420468192,1.5555011368334173
23830,38786.902238376955,1.5559209154084117
23840,38783.486131876816,1.5563423879054765
23850,38780.05588344021,1.5567655539622658
23860,38776.611491318356,1.5571904132159635
23870,38773.15295375497,1.5576169653032936
23880,38769.68026898621,1.558045209860533
23890,38766.19343524073,1.558475146523521
23900,38762.69245073963,1.5589067749276713
23910,38759.17731369648,1.5593400947079836
23920,38755.6480223173,1.5597751054990538
23930,38752.10457480054,1.560211806935086
23940,38748.54696933714,1.560650198649904
23950,38744.97520411044,1.561090280276962
23960,38741.38927729623,1.5615320514493554
23970,38737.78918706272,1.5619755117998335
23980,38734.17493157056,1.5624206609608107
23990,38730.5465089728,1.562867498564376
24000,38726.90391741492,1.5633160242423068
24010,38723.24715503481,1.5637662376260792
24020,38719.57621996276,1.5642181383468792
24030,38715.89111032144,1.5646717260356142
24040,38712.19182422595,1.5651270003229256
24050,38708.478359783745,1.5655839608391984
24060,38704.75071509469,1.5660426072145743
24070,38701.008888251,1.5665029390789622
24080,38697.252877337305,1.5669649560620504
24090,38693.48268043055,1.5674286577933179
24100,38689.69829560008,1.5678940439020457
24110,38685.89972090759,1.5683611140173288
24120,38682.08695440712,1.568829867768088
24130,38678.25999414505,1.5693003047830807
24140,38674.41883816014,1.5697724246909128
24150,38670.56348448343,1.570246227120051
24160,38666.69393113832,1.5707217116988337
24170,38662.810176140534,1.5711988780554835
24180,38658.91221749812,1.5716777258181172
24190,38655.00005321142,1.57215825461476
24200,38651.073681273105,1.5726404640733556
24210,38647.13309966813,1.5731243538217776
24220,38643.17830637378,1.5736099234878422
24230,38639.20929935958,1.57409717269932
24240,38635.226076587394,1.5745861010839473
24250,38631.228636011336,1.5750767082694377
24260,38627.21697557779,1.5755689938834943
24270,38623.191093225425,1.5760629575538219
24280,38619.150986885164,1.576558598908138
24290,38615.0966544802,1.5770559175741854
24300,38611.02809392596,1.5775549131797433
24310,38606.945303130145,1.5780555853526397
24320,38602.84827999266,1.5785579337207631
24330,38598.737022405665,1.579061957912075
24340,38594.61152825355,1.5795676575546205
24350,38590.471795412916,1.5800750322765416
24360,38586.31782175259,1.580584081706088
24370,38582.149605133614,1.5810948054716298
24380,38577.96714340922,1.5816072032016697
24390,38573.770434424856,1.5821212745248534
